categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;Quem estabelece os requisitos para homologação de Estações de Manutenção de Equipamentos de Salvatagem é:;INMETRO;IMO;Autoridade Marítima;Fabricante;Diretoria de Hidrografia e Navegação;Autoridade Marítima
Arrais Amador;Geral;É o nó principalmente usado para emendar cabos de bitolas diferentes:;nó de escolta;laís de guia;nó direito;volta do fiel;nó torto;nó de escolta
Arrais Amador;Geral;As coletes salva-vidas infláveis devem ser enchidos:;ao iniciar a viagem;quando já dentro da água;somente depois que entrar na balsa;antes de abandonar a embarcação;antes de pular na água;quando já dentro da água
Arrais Amador;Geral;O movimento de uma embarcação motorizada, para vante ou para ré, é causado diretamente:;pela ação dos ventos sobre os panos;pela ação das correntes marinhas sobre o casco;pelo giro do leme;pela aceleração do motor;pelo giro do hélice;pelo giro do hélice
Arrais Amador;Geral;PerguntasQual a frequência ideal de compressão e descompressão do peito, na massagem cardíaca externa conforme o Manual de 1ª Socorros da Fio Cruz;69 vezes por minuto;30 a 40 vezes por minuto;50 a 60 vezes por minuto;100 a 120 vezes por minuto;70 a 80 vezes por minuto;100 a 120 vezes por minuto
Arrais Amador;Geral;Como é denominada a manobra efetuada quando se quer manter a embarcação com a proa chegada ao vento para aguentar o mau tempo, com pouco segmento, mas abatendo consideravelmente e formando uma esteira de calma?;abater;derivar;pôr a embarcação a capa;rocegar;correr com o tempo;pôr a embarcação a capa
Arrais Amador;Geral;Durante a noite, foi avistada uma luz verde piscando e, pela carta náutica, verificou-se aproximação da entrada de um porto. Qual seria o formato provável deste sinal?;Cúbico;Cônico;Cilíndrico;Esférico;Piramidal;Cilíndrico
Arrais Amador;Geral;No tocante ao uso do colete salva-vidas convém que antes de uma viagem se faça a (o):;empréstimo de coletes de outro barco;contagem de as pessoas de bordo;contagem das crianças e adultos;demonstração de uso dos coletes salva-vidas;improvisação de coletes salva-vidas;demonstração de uso dos coletes salva-vidas
Arrais Amador;Geral;É passível correr interrupção da singradura (viagem) quando:;estiver em péssimo estado de conservação;trafegar em áreas de segurança;trafegar em canais balizados;estiver com excesso de lotação;a embarcação estiver sem luzes e marcas, previstas no RIPEAM;estiver com excesso de lotação
Arrais Amador;Geral;Assinale qual das infrações abaixo será passível da mais alta penalidade (multa do grupo G) prevista no decreto 2.596/98 (RLESTA):;trafegar em área de banhista;conduzir a embarcação em baixa velocidade;condução de barcos sem habilitação específica;excesso de passageiro ou carga;ceder a embarcação para condução de menores;excesso de passageiro ou carga
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), quando fundeado à noite com minha lancha de nove metros de comprimento, além de exibir uma luz circular branca onde melhor possa ser vista, posso também nessa situação:;acender a luz encarnada a bombordo e verde a boreste;acender todas as luzes de mastro;iluminar todo convés principal;acender somente as luzes necessárias para pesca amadora;acender qualquer luz de navegação pois meu barco estará parado;iluminar todo convés principal
Arrais Amador;Geral;PerguntasO leme de um barco, posicionado na popa, dará a direção para um barco. Quando giramos o timão para direita. Um barco em movimento também tomará a direção de boreste e o leme terá ângulo:;para boreste;para ré;para bombordo;para frente;para popa;para boreste
Arrais Amador;Geral;São considerados combustíveis voláteis:;óleo de linhaça e álcool;gasolina e graxa lubrificante;éter e benzina;óleo combustível e éter;óleo combustível e óleo de linhaça;éter e benzina
Arrais Amador;Geral;Num pilar de uma ponte sobre um rio navegável, observou-se um triângulo vermelho, isto significa que o:;tráfego está à a esquerda de quem desce ou sobe o rio;tráfego está sujeito a interrupção no período de seca;tráfego está à a direita de quem desce ou sobe o rio;tráfego proibido;tráfego está permitido com sentido único;tráfego está à a esquerda de quem desce ou sobe o rio
Arrais Amador;Geral;Qual o mais aconselhável e mais rápido procedimento para se analisar e descobrir a profundidade de um local de fundeio?;Qual o mais aconselhável e mais rápido procedimento para se analisar e descobrir a profundidade de um local de fundeio?;Consultando o GPS;Consultando o Aviso aos Navegantes;Consultando o odômetro;Consultando a carta náutica daquele local;Consultando a carta náutica daquele local
Arrais Amador;Geral;Segundo a NORMAM-201, Toda balsa salva-vidas e todo colete salva-vidas inflável serão submetidos a uma vistoria de revisão a cada;48 meses. podendo ser a critério da DPC por mais 2 meses, quando houver impossibilidade de efetuar revisão;18 meses podendo ser a critério da DPC por mais 5 meses, quando houver impossibilidade de efetuar revisão;12 meses. podendo ser a critério da DPC por mais 5 meses, quando houver impossibilidade de efetuar revisão;24 meses podendo ser a critério da DPC por mais 2 meses, quando houver impossibilidade de efetuar revisão;36 meses podendo ser a critério da DPC por mais 5 meses, quando houver impossibilidade de efetuar revisão;12 meses. podendo ser a critério da DPC por mais 5 meses, quando houver impossibilidade de efetuar revisão
Arrais Amador;Geral;A condição de equilíbrio de uma embarcação, com sua carga de peso sólidos e líquidos bem distribuídos e sua linha d’água respeitada é chamada de:;estanqueidade;flutuabilidade;estabilidade;deslocamento;arqueação;estabilidade
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), em uma ultrapassagem, realizada em segurança e com espaço suficiente para manobrar, a embarcação a ser ultrapassada deverá:;manter seu rumo e velocidade;soar quatro apitos curtos;parar máquinas e seguir só com o seguimento;guinar um pouco para o bordo oposto ao que vai ser ultrapassado;diminuir a velocidade para ajudar na ultrapassagem;manter seu rumo e velocidade
Arrais Amador;Geral;A temperatura na qual uma parcela de ar com pressão e conteúdo de vapor d’água constantes torna-se saturada quando resfria é chamada de:;ponto de saturação;ponto de orvalho;ponto de congelamento;ponto de ebulição;ponto de fulgor;ponto de orvalho
Arrais Amador;Geral;Estando presente o combustível e o oxigênio (comburente) para haver uma combustão é necessária que se atinja a (o):;ponto de combustão;temperatura de ignição;ponto de ignição;ponto de fulgor;temperatura ideal;temperatura de ignição
Arrais Amador;Geral;Uma boia com cor preta e uma ou mais faixas horizontais encarnadas:;lateral bombordo;especial;águas seguras;cardinal norte;perigo isolado;perigo isolado
Arrais Amador;Geral;PerguntasOs incêndios que ocorrem em equipamentos elétricos ou eletrônicos quando energizados são denominados:;"Incêndio classe &quot;A”";Incêndio classe “B”;Incêndio classe “C”;"Incêndio classe “D&quot;";"Incêndio classe “R&quot;";Incêndio classe “C”
Arrais Amador;Geral;São atitudes certas, com relação a vítima de grandes hemorragias:;desapertar o torniquete, depois de 30 minutos e reapertá-lo, independentemente de ter parado a hemorragia;dar líquidos enquanto estiver inconsciente e mantê-la agasalhada;não dar líquidos enquanto estiver inconsciente e mantê-la agasalhada;nunca desapertar o torniquete, enquanto a hemorragia estiver escorrendo;verificar se ela respira e fazer massagem cardíaca externa;não dar líquidos enquanto estiver inconsciente e mantê-la agasalhada
Arrais Amador;Geral;Trafegar com embarcação em área reservada a banhistas ou exclusiva para determinado tipo de embarcação acarreta que tipo de punição?;Multa de R$ 40,00 a R$ 3.200,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 2.800,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 1.600,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 800,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 2.200,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 1.600,00 ou suspensão da CHA até 60 dias
Arrais Amador;Geral;Durante o dia, observou-se uma haste em forma de pilar, com duas esferas pretas na sua parte de cima. Nesse caso, estamos diante de:;um perigo isolado;um balizamento cego;uma baliza;uma boia cônica;uma área segura para navegação;um perigo isolado
Arrais Amador;Geral;Uma embarcação com comprimento inferior a cinco metros, com convés aberto, sem cabine habitável e sem propulsão mecânica fixa e que, caso utilize motor de popa, este não exceda a 50 HP, para efeitos legais, é considerada:;embarcação de médio porte;embarcação miúda;embarcação de grande porte;embarcação de apoio;embarcação não-registrada;embarcação miúda
Arrais Amador;Geral;Segundo a RLESTA, a infração e seu autor material serão constatados:;normalmente no momento em que for praticada a infração;até 24 horas depois de praticada a infração;até 7 dias depois de praticada a infração;no momento em que for praticada, mediante apuração posterior ou mediante Inquérito Administrativo sobre Fatos da Navegação (IAFN);somente no momento em que for praticada a infração;no momento em que for praticada, mediante apuração posterior ou mediante Inquérito Administrativo sobre Fatos da Navegação (IAFN)
Arrais Amador;Geral;O valor máximo das multas previsto no Decreto nº 2.596/98 (RLESTA) é de:;2.200,00;3.200,00;4.200,00;5.200,00;6.200,00;3.200,00
Arrais Amador;Geral;O colete salva-vidas a ser utilizado por um motonauta pilotando uma moto aquática deve ser um:;colete de cor visível;colete salva-vidas classe V, certificado conforme previsto na NORMAM 05/DPC;colete salva-vidas destinado ao uso nas embarcações na navegação costeira;colete salva-vidas classe II, certificado conforme previsto na NORMAM 05/DPC;colete salva-vidas classe III, certificado conforme previsto na NORMAM 05/DPC;colete salva-vidas classe V, certificado conforme previsto na NORMAM 05/DPC
Arrais Amador;Geral;De acordo com a NORMAM-03, estão dispensadas de dotar embarcações de sobrevivência:;embarcações empregadas na Navegação Interior;embarcações de recreio;embarcações de pesca esportiva;embarcação empregadas na Navegação Costeira;embarcações empregadas na Navegação Oceânica;embarcações empregadas na Navegação Interior
Arrais Amador;Geral;As motos aquáticas são definidas como embarcações do tipo:;Embarcação de Sobrevivência;Embarcação Classificada;Embarcação Miúda;Embarcação de Grande Porte;Embarcação de Médio Porte;Embarcação Miúda
Arrais Amador;Geral;Qual das Carteiras de Habilitação de Amadores (CHA) abaixo pode ser obtida por um cidadão (ã) com menos de 18 anos de idade:;Motonauta;Capitão-Amador;Veleiro;Mestre-Amador;Arrais-Amador;Veleiro
Arrais Amador;Geral;As boias que delimitam as laterais de um canal ou canais preferenciais têm as cores:;amarela e preta;laranja e preta;verde e amarela;verde e encarnada;verde e preta;verde e encarnada
Arrais Amador;Geral;Os símbolos internacionais dos incêndios classe “A” e “D” são respectivamente:;um quadrado vermelho e um círculo azul;um quadrado vermelho e uma estrela verde;um triângulo verde e uma estrela amarela;uma estrela verde e um triângulo amarelo;um triângulo amarelo e uma estrela verde;um triângulo verde e uma estrela amarela
Arrais Amador;Geral;O que são espias e para que servem:;são cabos de aço ou ferro, que servem para prender as amarras às âncoras, em embarcações de esporte e recreio;são correntes de metal usadas para ligar à âncora;são cabos de amarração usados na faina (ação) de atracar uma embarcação;são retinidas, que servem para conduzir os cabos de amarração;são cabos de retinidas animal, vegetal ou sintética, que servem para prender a embarcação no fundo;são cabos de amarração usados na faina (ação) de atracar uma embarcação
Arrais Amador;Geral;O agente extintor CO2 tem como inconveniente o seguinte:;não pode ser utilizado em incêndio classe “C”;não pode ser utilizado em incêndio classe “B”;não pode ser utilizado em incêndio classe “A”;é utilizado em incêndio classe “C”;pode asfixiar uma pessoa em ambiente não ventilado;pode asfixiar uma pessoa em ambiente não ventilado
Arrais Amador;Geral;Quando em mar ruim, para vencer as ondas grandes, deve-se acelerar e desacelerar o motor da seguinte forma:;acelerar na subida e desacelerar antes da descida;não acelerar nem na subida e nem na descida;desacelerar na subida e acelerar antes da descida;quando subir na onda acelera e continua acelerando na descida;manter a velocidade constante tanto na subida quanto na descida;acelerar na subida e desacelerar antes da descida
Arrais Amador;Geral;No socorro de vítimas com queimaduras não se deve:;nenhuma das alternativas;resfriar o local com água corrente;colocar gaze úmida após o local ter resfriado e a dor ter diminuído;desgrudar o tecido da queimadura;fazer um curativo com compressa limpa;desgrudar o tecido da queimadura
Arrais Amador;Geral;Trafegar com embarcação em área reservada a banhistas ou exclusiva para determinado tipo de embarcação acarreta que tipo de punição?;Multa de R$ 40,00 a R$ 3.200,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 2.800,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 1.600,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 800,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 2.200,00 ou suspensão da CHA até 60 dias;Multa de R$ 40,00 a R$ 1.600,00 ou suspensão da CHA até 60 dias
Arrais Amador;Geral;Segundo a Lei Federal 9.537/97 (LESTA) no caso da pena de cancelamento de CHA, o infrator poderá requerer a sua habilitação, decorridos o prazo mínimo de:;2 anos;3 anos;6 meses;90 dias;12 meses;2 anos
Arrais Amador;Geral;Estão obrigadas a registro no Tribunal Marítimo todas as embarcações:;com comprimento igual a 24 metros, que possuam mais de 50 AB;de médio porte, com menos de 100 AB;com comprimento maior ou igual a 12 metros, que possuam mais de 20 AB;de médio porte, com amis de 50 AB;com comprimento maior ou igual a 24 metros, que possuam mais de 100 AB;com comprimento maior ou igual a 24 metros, que possuam mais de 100 AB
Arrais Amador;Geral;Para estancarmos uma hemorragia devemos:;abaixar a parte do corpo ferida;cobri-la com panos limpos;preparar uma tala;pressionar o local com um pano grosso;colocar água morna sobre o ferimento;pressionar o local com um pano grosso
Arrais Amador;Geral;Uma infração cometida nas áreas adjacentes às praias poderá ter pena de multa aplicada pelo (a):;Polícia Militar;Órgãos estaduais;Corpo de Bombeiros;Polícia Federal;Órgãos Municipais;Órgãos Municipais
Arrais Amador;Geral;Em caso de hipotermia, após aplicarmos os primeiros socorros, devemos deixar o paciente em posição de restabelecimento que será:;deixar a vítima deitada em decúbito dorsal;deixar a vítima sentada e com a cabeça ereta e bem mais alta que o resto do corpo;deixar a vítima deitada em decúbito ventral, levemente inclinada para o lado;colocar a vítima deitada de lado e com a cabeça mais baixa que o corpo;deixar a vítima à vontade para que ela encontre, por si, a posição mais confortável;deixar a vítima deitada em decúbito ventral, levemente inclinada para o lado
Arrais Amador;Geral;Para arrancar uma âncora devemos posicionar nosso barco exatamente sobre a âncora e arrancá-la quando a amarra estivar no sentido vertical. Este ato de arrancar a âncora do fundo é chamado de:;suspender;desenterrar;largar;desatracar;abicar;suspender
Arrais Amador;Geral;A sinalização de águas seguras significa:;águas sem circulação;águas policiadas;águas limítrofes;águas rasas;águas navegáveis;águas navegáveis
Arrais Amador;Geral;De acordo com a NORMAM-03/DPC, Inspeção Naval é definida como:;Atividade de cunho técnico que consiste na fiscalização do cumprimento da LESTA e RLESTA, e das normas e regulamentos dela decorrente;Ação administrativa, eventual ou periódica, pela qual é verificado o cumprimento de requisitos estabelecidos somente em normas nacionais, referente à prevenção da poluição ambiental e às condições de segurança e habitabilidade de embarcações;Ação técnica-administrativa, eventual ou periódica, pela qual é verificado o cumprimento de requisitos estabelecidos somente em normas nacionais, referente à prevenção da poluição ambiental e às condições de segurança e habitabilidade de embarcações;Atividade de cunho administrativo que consiste na fiscalização do cumprimento da LESTA e RLESTA, e das normas e regulamentos dela decorrente;Ação técnica-administrativa, eventual ou periódica, pela qual é verificado o cumprimento de requisitos estabelecidos somente em normas internacionais, referente à prevenção da poluição ambiental e às condições de segurança e habitabilidade de embarcações;Atividade de cunho administrativo que consiste na fiscalização do cumprimento da LESTA e RLESTA, e das normas e regulamentos dela decorrente
Arrais Amador;Geral;Quando um navegante vem se aproximando de uma bifurcação de canal e se depara com um balizamento de duas cores, e verifica que a maior profundidade está no canal a seu boreste, quais seriam as duas cores vistas pelo navegante:;preta e encarnada;encarnada, com uma faixa horizontal verde;verde, com uma faixa horizontal encarnada;encarnada, com uma faixa horizontal amarela;preta e amarela;verde, com uma faixa horizontal encarnada
Arrais Amador;Geral;No balizamento de uma hidrovia um sinal “X” na margem do rio, significa:;seguir meio do canal;seguir margem;trocar de margem;bifurcação de canal;perigo isolado;trocar de margem
Arrais Amador;Geral;O que vem a ser hemorragia:;o aparecimento de bolhas;a grande perda de sangue;a queda da pressão arterial;a ruptura da pele;o desmaio temporário;a grande perda de sangue
Arrais Amador;Geral;A sobrevivência do náufrago depende do período de permanência na água em função da (s):;temperatura da água do mar;correntes marinhas;quantidade de água;distância de terra;exposição aos raios solares;temperatura da água do mar
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), em uma situação de risco de abalroamento, a embarcação que não tenha a obrigação de manobrar, é chamada de embarcação:;manobradora;que tem preferência;alcançada;obrigada a manobrar;sem preferência;que tem preferência
Arrais Amador;Geral;Nos casos de ingestão de substâncias corrosivas, cáusticos em geral e derivados de petróleo, diluir ou neutralizar essas substâncias pela ingestão de:;azeite;xarope de ipeca;água ou leite;chá preto ou café;xarope de boldo;água ou leite
Arrais Amador;Geral;Os incêndios das classes “A” e “B” são identificados por símbolos internacionais, que são respectivamente:;um quadrado vermelho e um círculo azul;um quadrado vermelho e uma estrela verde;um triângulo verde e uma estrela amarela;uma estrela verde e um triângulo amarelo;um triângulo verde e um quadrado vermelho;um triângulo verde e um quadrado vermelho
Arrais Amador;Geral;A condição de equilíbrio de uma embarcação, com sua carga de peso sólidos e líquidos bem distribuídos e sua linha d’água respeitada é chamada de:;estanqueidade;flutuabilidade;estabilidade;deslocamento;arqueação;estabilidade
Arrais Amador;Geral;"Sobreviventes de naufrágios durante a Segunda Guerra Mundial apontam o óleo flutuante como origem das maiores dificuldades para o salvamento. Para evitar todos os inconvenientes causados por ele como: elevado risco de sufocação pela irritação das vias respiratórias; e até mesmo de cegueira pela violenta ardência nos olhos, deveremos:";mergulhar a sota vento;boiar e deixar a correnteza nos levar;nadar por baixo da água até sair fora do óleo;nadar na direção do vento;mergulhar sobre a mancha de óleo;nadar por baixo da água até sair fora do óleo
Arrais Amador;Geral;O dispositivo de iluminação das balsas, quando houver, é alimentado por:;pilhas alcalinas constantes do material de salvatagem;bateria ativada automaticamente pela água salgada;bateria de níquel cádmio constante do material de salvatagem;lanternas de antepara existentes no interior da balsa;pilhas de níquel cádmio constantes do material de salvatagem;bateria ativada automaticamente pela água salgada
Arrais Amador;Geral;Segundo o artigo 4º da Lei de Segurança do Tráfego Aquaviário (LESTA), a autoridade marítima tem poderes para criar normas complementares para regulamentar diversos aspectos da navegação. Estas Normas da Autoridade Marítima são chamadas de:;NORTEC;RTM;NORMAM;NPCP;NORIP;NORMAM
Arrais Amador;Geral;Numa hidrovia interior você se depara com uma placa branca contendo a letra “H” na cor vermelha. Ela que lhe indicar que você deve:;trocar de margem;seguir pela margem esquerda da hidrovia;seguir pelo centro da hidrovia;cruzar obliquamente;seguir a margem direita;seguir pelo centro da hidrovia
Arrais Amador;Geral;Uma estrutura fixa com aspecto definido, provida essencialmente de um equipamento luminoso que exiba luz de ritmo e cor determinados, cujo alcance luminoso seja superior a dez (10) milhas náuticas é chamada de:;farol;farolete;boia luminosa;boia de sinalização;baliza;farol
Arrais Amador;Geral;Em todos os portos brasileiros, ao entrar no porto com sua embarcação, vindo do mar aberto você deverá deixar por boreste de seu barco as boias, laterais de cor:;verde e encarnada;amarela;branca;verde;encarnada;encarnada
Arrais Amador;Geral;O ato de parar a embarcação prendendo-a a uma âncora que será fixada ao fundo é chamado de:;Suspender;Fundear;Aduchar;Abicar;Atracar;Fundear
Arrais Amador;Geral;Os ventos sopram de um centro de alta pressão para um centro de baixa pressão, mas não de forma direta, mas de forma curva, em virtude do movimento de rotação da terra. A esse fenômeno chamamos de:;Escala Beaufort;Ciclone;Furação;Força centrifuga dos ventos;Força de Coriolis;Força de Coriolis
Arrais Amador;Geral;Com corrente de proa a desatracação fica mais fácil:;folgando-se todos os cabos, largando-se a embarcação ao efeito da corrente;folgando-se primeiro os cabos de ré, mantendo-se os cabos de vante apertados;folgando-se todos os cabos, largando-se a embarcação ao efeito do vento e da corrente;folgando-se primeiro os cabos de vante, mantendo-se os cabos de ré apertados;esperando-se o efeito da corrente cessar, para dar inicio a manobra da embarcação;folgando-se primeiro os cabos de vante, mantendo-se os cabos de ré apertados
Arrais Amador;Geral;Para sobrevivência de um náufrago é mais importante:;seu estado psicológico do que a eficiência do equipamento que possui;a temperatura da água do mar;a exposição aos raios do sol;a eficiência do equipamento que possui;a distância de terra;seu estado psicológico do que a eficiência do equipamento que possui
Arrais Amador;Geral;O sistema Russo de navegação por satélite, chama-se:;WGS;GLONASS;COPAS;DGPS;NAVSTAR;GLONASS
Arrais Amador;Geral;Em um naufrágio, a fadiga e o esgotamento resultantes de grandes privações muitas vezes conduzem a distúrbios mentais que podem tomar forma de extenso nervosismo, atividade excessiva e violenta ou de estafa. O melhor meio de evitá-los é:;nadar uma vez por dia;manter-se ocupado com tarefas da balsa;procurar dormir e descansar o máximo possível;pescar;realizar exercícios físicos;procurar dormir e descansar o máximo possível
Arrais Amador;Geral;Quando eu navego, devo ter a bordo de meu barco, além do Título de Inscrição, também os (as):;Provisão de Registro de Propriedade Marítima (PRPM), Bilhete de Seguro (DPEM) e Carteira de identidade;Bilhete de Seguro (DPEM) e Carteira de Identidade;Carteira de Identidade;Carteira de Habilitação de Amador (CHA, Carteira de Identidade (RG) e Bilhete de Seguro (DPEM);Notas de Arqueação, Nota Fiscal do casco e Nota Fiscal do motor;Carteira de Habilitação de Amador (CHA, Carteira de Identidade (RG) e Bilhete de Seguro (DPEM)
Arrais Amador;Geral;Quando numa embarcação de dois hélices, um deles dá a ré e o outro adiante, com a mesma rotação, essa embarcação:;tende a girar a proa para o bordo contrário ao do hélice que dá atrás;tende a girar a proa para o mesmo bordo do hélice que dá a ré;tende a seguir em linha reta para ré;tende a girar a proa para o mesmo bordo do hélice que dá adiante;tende a seguir em linha reta para vante;tende a girar a proa para o mesmo bordo do hélice que dá a ré
Arrais Amador;Geral;Dois apitos curtos significam:;embarcação em visibilidade restrita;embarcação fundeada em visibilidade restrita;estou guinando para bombordo;estou dando máquinas atrás;estou guinando para boreste;estou guinando para bombordo
Arrais Amador;Geral;Um apito curto significa:;estou parando máquinas;estou guinando para boreste;estou guinando para bombordo;estou dando máquinas atrás;estou dando máquinas adiante;estou guinando para boreste
Arrais Amador;Geral;O termo “em movimento” se aplica a todas as embarcações que:;estão encalhadas;estão fundeadas;estão atracadas;não se encontram fundeadas, amarradas à terra ou encalhadas;estão amarradas;não se encontram fundeadas, amarradas à terra ou encalhadas
Arrais Amador;Geral;Uma embarcação exibindo três esferas dispostas em linha vertical, estará:;encalhada;sem governo;fundeada;atracada;com capacidade de manobra restrita;encalhada
Arrais Amador;Geral;Se durante o dia eu avistar uma embarcação com um balão preto no mastro, ela estará:;encalhada;sem governo;fundeada;atracada;a matroca;fundeada
Arrais Amador;Geral;Uma embarcação navegando à vela, quando também usando sua propulsão mecânica, deve exibir a vante, onde melhor possa ser visto:;uma marca em forma de cubo;uma marca em forma de cone, com vértice para cima;uma marca em forma de losango;uma marca em forma de cone, com vértice para baixo;uma marca em forma de esfera;uma marca em forma de cone, com vértice para baixo
Arrais Amador;Geral;A boia cega:;emite luzes brancas;emite luzes amarelas;emite luzes intermitentes;não emite luzes;emitem luzes encarnadas;não emite luzes
Arrais Amador;Geral;Na sinalização fluvial, entende-se por margem esquerda a margem:;situada a bombordo da embarcação;situada do lado direito do fluxo da corrente;situada do lado esquerdo de quem sobe o rio;situada do lado esquerdo de quem desce o rio;situada a boreste da embarcação;situada do lado esquerdo de quem desce o rio
Arrais Amador;Geral;A marca de tope do sinal de sinal especial é:;um “E” amarelo;um “X” encarnado;um “X” amarelo;um “X” verde;um “E” preto;um “X” amarelo
Arrais Amador;Geral;O que são espias e para que servem:;são cabos de aço ou ferro, que servem para prender as amarras às âncoras, em embarcações de esporte e recreio;são correntes de metal usadas para ligar à âncora;são cabos de amarração usados na faina de atracar uma embarcação;são retinidas, que servem para conduzir os cabos de amarração;são cabos de retinidas animal, vegetal ou sintética, que servem para prender a embarcação no fundo;são cabos de amarração usados na faina de atracar uma embarcação
Arrais Amador;Geral;Para desatracar a embarcação devemos, como regra geral:;largar os cabos de vante e abrir a proa dando máquinas adiante;largar todos os cabos e dar máquinas adiante toda força, para sair rapidamente do cais;largar os cabos de ré, procurando utilizar os cabos de vante para abrir a popa com máquina adiante toda força;largar os cabos de ré, procurando manobrar para abrir a popa, aproveitar o efeito do leme para afastar a popa e então largar os cabos de vante;largar os cabos de vante a abrir a proa dando máquinas atrás;largar os cabos de ré, procurando manobrar para abrir a popa, aproveitar o efeito do leme para afastar a popa e então largar os cabos de vante
Arrais Amador;Geral;Uma embarcação com um hélice apenas, com rotação no sentido anti-horário, com leme a meio, e em movimento para vante tende a guinar para:;boreste muito lentamente;bombordo muito rapidamente;bombordo lentamente;boreste lentamente;boreste rapidamente;boreste lentamente
Arrais Amador;Geral;Se eu avistar uma outra embarcação e tiver certeza de que está havendo risco de abalroamento, a seguinte situação está sendo apresentada:;marcação variando e distância diminuindo;marcação constante e distância aumentando;marcação constante e distância diminuindo;marcação variando e distância constante;marcação variando e distância aumentando;marcação constante e distância diminuindo
Arrais Amador;Geral;Os incêndios que envolvem materiais fibrosos ou sólidos que deixam como resíduos brasas ou cinzas são denominados:;Incêndio classe “B”;"Incêndio classe &quot;A”";Incêndio classe “C”;Incêndio classe “D”;Incêndio classe “R”;"Incêndio classe &quot;A”"
